id	sex	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2007	2008	2009	2010	2011	2012	2013	2014
47761	m	0	0	0	0	0	S	0	S	0	S	0	B	0	0	0	0	0	B	0	0
47763	m	0	0	0	0	0	0	0	0	0	F	0	N	0	0	0	0	0	0	0	0
47765	f	0	0	0	0	S	0	F	B	0	0	0	0	0	0	0	0	0	0	0	0
47767	f	0	0	0	0	F	0	F	0	F	N	0	B	0	0	0	0	0	0	0	0
47768	f	0	0	0	0	S	0	S	0	S	0	S	0	0	S	0	S	0	S	0	S
47771	f	0	0	0	0	S	0	S	A	0	0	0	0	0	0	0	0	0	0	0	0
47772	m	0	0	0	0	0	0	S	0	F	F	F	B	0	0	0	0	0	B	0	0
47773	f	0	0	0	0	S	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0
47774	m	0	0	0	0	S	0	S	A	S	0	S	0	S	0	F	0	0	0	0	0
47775	f	0	0	0	0	S	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0
47776	m	0	0	0	0	S	0	S	0	S	0	S	0	0	0	0	0	0	0	0	0
47779	m	0	0	0	0	0	0	S	0	S	0	S	0	0	S	0	B	0	0	0	0
47780	f	0	0	0	0	S	A	F	S	0	F	S	0	0	S	0	S	0	S	A	S
47781	f	0	0	0	0	0	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0
47782	m	0	0	0	0	0	S	A	F	B	B	S	0	S	0	F	F	B	S	0	S
47783	f	0	0	0	0	S	0	S	0	S	0	S	0	0	S	0	0	0	0	B	0
47784	m	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47785	f	0	0	0	0	F	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47786	m	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47787	f	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47788	f	0	0	0	0	S	0	T	0	B	S	0	N	0	0	0	0	0	0	0	0
47790	m	0	0	0	0	S	0	B	B	F	0	0	0	0	0	0	0	0	0	0	0
47791	f	0	0	0	0	S	0	B	S	A	F	S	0	0	0	0	0	0	0	0	0
47792	m	0	0	0	0	S	0	B	B	B	B	B	B	B	0	0	0	0	0	0	0
47793	f	0	0	0	0	S	0	S	0	S	0	S	0	B	S	0	S	0	F	S	0
47794	m	0	0	0	0	F	B	B	F	S	0	0	0	0	0	0	0	0	0	0	0
47795	m	0	0	0	0	0	0	0	S	0	S	0	N	B	B	B	B	B	B	0	0
47796	m	0	0	0	0	S	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0
47798	m	0	0	0	0	F	B	B	S	0	F	S	0	0	0	0	0	0	0	0	0
47799	f	0	0	0	0	0	S	0	S	0	B	B	N	S	0	0	0	B	S	0	0
47800	m	0	0	0	0	0	S	A	S	0	0	0	0	0	0	0	0	0	0	0	0
47802	f	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47803	f	0	0	0	0	S	0	S	A	0	0	0	0	0	0	0	0	B	0	0	0
47804	m	0	0	0	0	F	F	S	0	F	S	0	N	F	0	0	0	0	0	0	0
47805	m	0	0	0	0	S	0	S	0	0	B	0	0	0	F	0	0	0	0	0	0
47806	m	0	0	0	0	0	S	0	S	0	S	0	N	F	B	B	B	B	0	0	0
47808	f	0	0	0	0	0	S	0	S	0	S	0	N	S	0	S	0	0	0	0	0
47809	f	0	0	0	0	0	0	0	S	0	S	0	N	B	S	0	0	0	0	0	0
47810	f	0	0	0	0	0	S	0	F	S	0	F	N	0	0	0	0	0	0	0	0
47811	m	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47812	m	0	0	0	0	0	F	0	S	0	S	0	N	0	0	0	0	0	0	0	0
47815	f	0	0	0	0	0	S	0	F	B	S	0	N	0	0	0	0	0	0	0	0
47817	f	0	0	0	0	0	S	0	B	0	0	0	0	0	0	0	0	0	0	0	0
47819	f	0	0	0	0	0	F	S	0	0	0	0	0	0	0	0	0	0	0	0	0
47820	f	0	0	0	0	0	S	0	S	0	B	B	B	0	0	0	0	0	0	0	0
47821	m	0	0	0	0	0	F	S	0	B	S	0	F	B	B	B	B	B	B	B	B
47822	f	0	0	0	0	0	S	0	S	0	S	0	N	S	0	S	0	B	0	0	0
47823	m	0	0	0	0	0	F	S	0	S	A	S	0	0	B	B	B	B	B	B	B
47826	m	0	0	0	0	0	0	0	0	0	F	F	F	B	S	0	0	0	0	0	0
47827	f	0	0	0	0	S	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0
47828	f	0	0	0	0	0	S	0	S	0	S	0	N	B	S	0	0	0	0	0	0
47829	m	0	0	0	0	0	S	0	B	0	0	0	0	0	0	0	0	0	0	0	0
47830	m	0	0	0	0	0	S	A	S	0	F	S	0	0	0	B	B	S	0	0	0
47831	m	0	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47832	m	0	0	0	0	0	S	0	F	B	0	0	0	0	0	0	0	0	0	0	0
47834	f	0	0	0	0	S	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0
47835	f	0	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47836	f	0	0	0	0	F	F	0	B	S	A	F	N	0	S	0	F	B	F	0	0
47837	f	0	0	0	0	0	S	0	S	0	S	0	N	0	S	0	F	0	0	0	0
47839	f	0	0	0	0	S	0	S	0	S	A	S	0	B	F	B	0	0	0	0	0
47840	f	0	0	0	0	S	0	S	0	S	0	S	0	F	0	B	B	0	F	0	0
47841	f	0	0	0	0	0	S	0	S	0	S	0	N	B	0	0	0	0	0	0	0
47842	m	0	0	0	0	0	S	0	S	0	S	0	N	0	B	B	B	B	F	0	0
47843	f	0	0	0	0	0	S	0	S	0	S	0	N	S	0	0	0	0	0	0	0
47845	f	0	0	0	0	S	0	0	F	F	0	0	0	0	0	0	0	0	0	0	0
47846	f	0	0	0	0	0	F	0	S	0	S	0	N	S	0	S	0	F	0	0	0
47847	m	0	0	0	0	0	0	0	F	F	B	B	B	B	S	0	0	0	0	0	0
47848	m	0	0	0	0	S	0	S	0	S	0	0	0	0	0	0	0	0	0	0	0
47850	f	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47851	f	0	0	0	0	0	0	0	0	0	0	F	0	0	0	0	0	0	0	0	0
47854	f	0	0	0	0	F	F	F	F	F	F	F	F	0	0	0	0	0	0	0	0
47855	f	0	0	0	0	0	S	0	S	0	F	0	N	0	S	0	B	F	0	0	0
47856	m	0	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47859	m	0	0	0	0	0	S	0	S	0	S	0	N	0	F	0	0	0	0	0	0
47860	m	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47861	f	0	0	0	0	0	S	0	B	0	0	0	0	0	0	0	0	0	0	0	0
47862	m	0	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47863	m	0	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47865	m	0	0	0	0	0	S	0	S	0	F	S	0	S	0	0	0	0	0	0	0
47867	f	0	0	0	0	0	S	0	S	0	F	S	0	0	0	0	0	0	0	0	0
47868	f	0	0	0	0	0	0	S	0	B	S	0	N	S	0	S	0	0	0	B	0
47869	f	0	0	0	0	0	0	0	S	0	B	N	N	0	0	0	0	0	0	0	0
47870	f	0	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47871	m	0	0	0	0	0	S	0	B	F	B	S	0	0	0	0	0	0	0	0	0
47872	m	0	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47873	f	0	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47874	f	0	0	0	0	S	0	F	0	F	0	0	0	0	0	0	0	0	0	0	0
47876	m	0	0	0	0	S	0	B	0	0	0	0	0	0	0	B	0	0	0	0	0
47877	f	0	0	0	0	0	F	S	0	F	S	0	N	F	S	0	0	0	0	0	0
47878	f	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47879	m	0	0	0	0	0	S	0	S	A	S	0	N	0	0	0	0	0	0	0	0
47880	f	0	0	0	0	0	S	0	S	0	F	S	0	0	0	0	0	0	0	B	0
47881	f	0	0	0	0	0	S	0	S	0	F	F	F	0	0	0	0	0	0	0	0
47882	f	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47883	f	0	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47884	f	0	0	0	0	0	S	0	S	0	F	S	0	0	0	0	0	0	0	0	0
47886	f	0	0	0	0	0	S	0	S	0	S	0	N	S	0	S	0	0	B	0	0
47887	m	0	0	0	0	0	0	S	0	B	0	0	0	0	0	0	0	0	0	0	0
47888	f	0	0	0	0	0	0	0	F	S	0	S	0	0	0	0	0	0	0	0	0
47889	m	0	S	0	B	B	B	B	B	B	B	0	0	0	0	0	0	0	0	0	0
47890	f	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47891	f	0	0	0	0	S	0	S	0	B	B	B	0	0	0	0	0	0	0	0	0
47892	f	0	0	0	0	0	0	0	S	0	S	0	0	0	0	0	0	0	0	0	0
47893	f	0	0	0	0	0	S	A	0	B	F	0	N	B	S	0	0	0	0	B	0
47894	f	0	0	0	0	0	F	B	F	S	A	B	B	T	0	0	0	0	0	0	0
47895	f	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47896	m	0	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47897	m	0	0	0	0	0	S	0	0	0	S	0	N	0	0	0	0	0	0	0	0
47898	f	0	0	0	0	0	S	0	S	0	N	B	N	0	0	0	0	0	0	0	0
47899	m	0	0	0	S	0	F	B	B	B	B	B	B	0	0	0	0	0	0	0	0
47900	m	0	0	0	0	0	S	0	F	0	S	0	N	F	F	0	0	0	0	0	0
47901	m	0	0	0	0	S	0	B	B	F	0	S	0	0	0	0	0	0	0	0	0
47902	f	0	0	0	0	0	F	0	S	A	S	0	0	0	0	0	0	0	0	0	0
